SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
2652367,232137,0.0,18,-2398.0,-2403.0,4500.0,4500.0
1845882,167969,1.0,14,-136.0,-140.0,8043.48,8043.48
2430317,105881,1.0,15,-120.0,-120.0,48222.855,48222.855
1052426,170461,1.0,7,-1083.0,-1090.0,11721.735,11721.735
2148550,265570,0.0,47,-1125.0,-1128.0,7875.0,7875.0
1576797,351755,1.0,10,-702.0,-700.0,9994.455,8850.6
1956223,315408,1.0,10,-2267.0,-2263.0,12371.805,12356.55
1396186,244627,1.0,3,-752.0,-755.0,14588.91,14588.91
2426282,296187,1.0,10,-1253.0,-1256.0,2498.94,2498.94
1017530,420419,0.0,8,-140.0,-140.0,855.585,855.585
2837692,365911,0.0,1,-294.0,-294.0,45000.0,45000.0
1956039,380916,0.0,82,-1142.0,-1142.0,22.185,22.185
2102435,267444,2.0,5,-1697.0,-1709.0,16400.115,16400.115
2261128,289361,1.0,11,-1213.0,-1216.0,5662.305,5662.305
2206388,124454,1.0,2,-492.0,-522.0,18606.555,18606.555
2300703,249583,1.0,4,-293.0,-351.0,7578.9,7578.9
1133161,336620,0.0,66,-671.0,-668.0,5625.0,5625.0
1396585,276332,1.0,1,-1394.0,-1400.0,17914.86,17914.86
1545490,287406,1.0,2,-1138.0,-1145.0,31616.955,31616.955
1995080,245430,0.0,63,-542.0,-558.0,15073.56,15073.56
1077513,398594,1.0,1,-850.0,-880.0,17713.125,17713.125
2230226,292850,1.0,1,-2626.0,-2632.0,20056.545,20056.545
1557336,344213,1.0,2,-1576.0,-1616.0,9768.87,9768.87
1492833,385374,1.0,12,-1867.0,-1867.0,3959.28,3959.28
2399875,157138,1.0,9,-1402.0,-1408.0,7918.2,7918.2
1364340,319964,1.0,4,-261.0,-286.0,6106.95,6106.95
1861102,111629,5.0,20,-255.0,-248.0,8667.0,4005.0
1870491,378572,0.0,86,-1243.0,-1243.0,2250.0,2250.0
2391619,153109,0.0,58,-677.0,-707.0,1776.51,1776.51
1693545,311286,1.0,7,-1116.0,-1157.0,1888.335,1888.335
1390644,360913,1.0,4,-2469.0,-2479.0,13334.67,13334.67
2784951,190559,1.0,6,-436.0,-463.0,26496.72,26496.72
1770283,148701,1.0,5,-1959.0,-1969.0,3168.45,3168.45
2817731,306808,1.0,5,-59.0,-63.0,24772.14,24772.14
1176763,288574,1.0,1,-2647.0,-2659.0,4679.55,4679.55
1327609,435372,1.0,25,-1760.0,-1887.0,2454.435,2454.435
1263251,295004,1.0,4,-844.0,-856.0,5444.235,5444.235
1803385,189352,0.0,45,-2183.0,-2183.0,510.57,510.57
2426957,200697,0.0,85,-332.0,-332.0,765.945,765.945
1386410,416602,0.0,67,-988.0,-1000.0,3375.0,3375.0
2391311,245975,2.0,6,-526.0,-544.0,134773.875,134773.875
2409257,194232,1.0,5,-949.0,-967.0,21870.18,21870.18
2317399,248924,1.0,6,-1663.0,-1673.0,9805.77,9805.77
1980780,437603,1.0,2,-435.0,-457.0,19978.425,636.3
2249182,364592,1.0,8,-2290.0,-2274.0,5756.175,5756.175
2594294,299082,1.0,4,-2051.0,-2060.0,2446.11,2446.11
2024082,247588,0.0,73,-1326.0,-1326.0,13500.0,13500.0
1491089,194699,1.0,6,-2822.0,-2884.0,2326.275,2326.275
1639725,119243,1.0,1,-660.0,-675.0,18330.615,18330.615
2817667,140782,0.0,114,-482.0,-482.0,1307.025,1307.025
2167822,246488,1.0,7,-2260.0,-2266.0,6359.94,6359.94
2545968,187538,1.0,3,-330.0,-339.0,28438.38,28438.38
1378298,310132,0.0,21,-348.0,-348.0,9288.765,9288.765
1487300,245932,0.0,37,-2090.0,-2090.0,514.125,514.125
1255704,364518,3.0,18,-297.0,-303.0,6875.37,6875.37
2762038,165700,0.0,31,-2531.0,-2538.0,165.555,165.555
1028461,102519,1.0,5,-15.0,-31.0,13945.68,13945.68
1156051,281583,1.0,2,-1222.0,-1225.0,13999.815,13999.815
1270781,189305,0.0,45,-1876.0,-1876.0,2250.0,2250.0
2152929,295134,0.0,25,-234.0,-247.0,19701.405,5188.905
1165622,137401,1.0,21,-279.0,-281.0,39090.465,39090.465
1053744,383006,0.0,124,-104.0,-104.0,90.225,90.225
1800898,445911,1.0,7,-51.0,-60.0,15717.87,15717.87
2199315,277109,2.0,1,-644.0,-646.0,61751.025,61751.025
2116647,142214,0.0,81,-1427.0,-1427.0,4500.0,4500.0
1413008,392765,1.0,7,-1549.0,-1558.0,7437.375,6844.5
2328393,441347,1.0,3,-1408.0,-1406.0,10080.18,10080.18
2162751,153560,1.0,5,-1886.0,-1886.0,22243.59,22243.59
1989602,436743,10.0,6,-606.0,-617.0,29409.48,45000.0
1912673,340195,0.0,6,-2726.0,-2737.0,6750.0,6750.0
2584694,187049,1.0,11,-358.0,-362.0,6154.92,6154.92
1798095,331390,0.0,42,-2018.0,-2027.0,5625.0,5625.0
1157488,124204,1.0,4,-2348.0,-2355.0,14305.275,14234.085
1219403,318511,1.0,11,-401.0,-403.0,9356.805,9356.805
2099201,289249,1.0,7,-315.0,-317.0,39096.855,39096.855
2181018,139030,0.0,25,-283.0,-286.0,13838.58,13838.58
2741894,152714,0.0,82,-528.0,-524.0,6750.0,6750.0
2323478,418081,0.0,202,-71.0,-71.0,3600.0,3600.0
2162672,441523,0.0,25,-2064.0,-2074.0,9000.0,8775.0
1691183,189719,0.0,89,-55.0,-55.0,256.905,256.905
1728113,423980,1.0,17,-381.0,-406.0,34303.545,34303.545
2357672,299271,1.0,11,-302.0,-311.0,6771.105,6771.105
2445055,125562,1.0,32,-738.0,-765.0,11420.82,11420.82
1354888,395560,1.0,3,-536.0,-566.0,28742.67,28742.67
1535457,371778,0.0,53,-858.0,-858.0,391.185,391.185
2016150,269010,1.0,2,-2013.0,-2020.0,5496.93,5496.93
1360178,334283,3.0,7,-59.0,-202.0,4682.925,4682.925
1688207,455436,0.0,18,-2443.0,-2461.0,4500.0,4500.0
2809647,349034,1.0,2,-2445.0,-2445.0,2807.685,2807.685
1865006,389352,1.0,17,-1628.0,-1657.0,8074.08,164.475
2502678,281122,1.0,3,-1092.0,-1106.0,68903.01,68903.01
2126511,386083,1.0,6,-360.0,-389.0,33021.585,2562.075
2700932,455803,1.0,16,-295.0,-297.0,20269.125,20269.125
1590921,455196,1.0,4,-181.0,-194.0,17699.985,17699.985
1645550,146277,0.0,3,-2616.0,-2616.0,2250.0,2250.0
2450433,128471,1.0,1,-1044.0,-1064.0,3339.27,3339.27
1375518,121388,1.0,9,-1561.0,-1565.0,9172.71,9172.71
1338982,173366,1.0,8,-183.0,-196.0,10404.63,10404.63
2256533,328499,1.0,2,-2606.0,-2611.0,13404.15,13404.15
2016783,106870,1.0,6,-190.0,-191.0,47212.2,47212.2
2096465,310956,1.0,3,-2486.0,-2450.0,3004.695,6.66
1645532,164651,0.0,10,-2004.0,-2016.0,6750.0,6750.0
1450536,403046,1.0,4,-1617.0,-1617.0,4605.03,4605.03
1251103,217282,1.0,6,-980.0,-1010.0,63481.05,63481.05
1193527,264360,1.0,4,-50.0,-85.0,7312.635,7312.635
1752660,219478,2.0,6,-694.0,-695.0,10732.5,10732.5
2109123,144919,0.0,21,-194.0,-194.0,35.01,35.01
