SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1141316,278001,-37,12.0,0.0,Completed,0,0
2682740,248899,-67,12.0,4.0,Active,0,0
2136647,209965,-73,18.0,18.0,Active,0,0
1678541,432875,-8,24.0,16.0,Active,0,0
1870173,117636,-86,10.0,7.0,Active,0,0
1051061,380942,-4,36.0,32.0,Active,0,0
2405023,377666,-16,12.0,7.0,Active,0,0
2174435,205035,-23,36.0,35.0,Active,0,0
1709974,173223,-27,12.0,12.0,Active,0,0
1790808,177150,-4,11.0,0.0,Completed,0,0
1927827,405482,-71,12.0,3.0,Active,0,0
2248156,360096,-14,12.0,12.0,Active,0,0
2806361,294836,-70,17.0,12.0,Active,0,0
2165154,143728,-14,18.0,17.0,Active,0,0
2831850,407460,-57,6.0,2.0,Active,0,0
2481629,113425,-8,48.0,46.0,Active,0,0
1367842,418176,-92,9.0,7.0,Active,0,0
2291398,234699,-15,24.0,11.0,Active,0,0
2584414,322777,-54,15.0,5.0,Active,9,9
1231319,137534,-51,10.0,0.0,Active,265,0
1095816,415731,-53,24.0,20.0,Active,0,0
2244780,295009,-8,1.0,0.0,Completed,0,0
1463572,268368,-11,10.0,0.0,Completed,0,0
1825691,121644,-71,10.0,1.0,Active,0,0
1443445,128627,-46,24.0,24.0,Active,0,0
2093949,323936,-16,60.0,51.0,Active,0,0
1861876,282301,-24,24.0,24.0,Active,0,0
2463859,228217,-87,10.0,5.0,Active,0,0
1310451,261773,-67,12.0,11.0,Active,0,0
2196422,439071,-3,6.0,1.0,Active,0,0
1799911,237060,-76,12.0,10.0,Active,0,0
2673384,253990,-23,24.0,24.0,Active,0,0
1156458,445510,-24,24.0,19.0,Active,0,0
1163578,335318,-2,2.0,0.0,Completed,0,0
2200380,215078,-26,24.0,10.0,Active,0,0
1998118,222298,-17,10.0,6.0,Active,0,0
1280531,339207,-8,24.0,2.0,Active,0,0
1974395,117354,-59,7.0,3.0,Active,0,0
2307037,255888,-80,10.0,7.0,Active,0,0
2740980,159601,-19,24.0,20.0,Active,0,0
1420724,214754,-20,24.0,22.0,Active,0,0
1469397,276974,-4,10.0,4.0,Active,0,0
2449529,230315,-49,24.0,19.0,Active,0,0
1340071,242748,-16,11.0,0.0,Completed,0,0
1311336,185705,-91,7.0,5.0,Active,0,0
2812258,313877,-12,36.0,30.0,Active,0,0
1077507,164561,-68,6.0,6.0,Signed,0,0
2244170,131919,-23,10.0,10.0,Active,0,0
1777541,351649,-34,12.0,10.0,Active,0,0
1692181,300467,-45,6.0,5.0,Active,0,0
2353392,234438,-96,12.0,4.0,Active,0,0
2165471,448285,-40,12.0,7.0,Active,0,0
1060646,284191,-7,12.0,9.0,Active,0,0
1532558,248669,-71,6.0,6.0,Active,0,0
2704287,122657,-65,10.0,2.0,Active,0,0
1711527,156656,-15,24.0,22.0,Active,0,0
1538356,228221,-26,16.0,3.0,Active,0,0
1103433,182946,-4,48.0,47.0,Active,0,0
2036080,383935,-57,10.0,3.0,Active,0,0
2360472,254024,-59,24.0,16.0,Active,0,0
1256294,260642,-3,36.0,26.0,Active,0,0
1551639,401792,-20,12.0,7.0,Active,0,0
1488838,264037,-32,36.0,36.0,Active,0,0
1294060,380514,-9,24.0,23.0,Active,0,0
2224166,433848,-94,11.0,0.0,Completed,0,0
1235326,321849,-12,12.0,7.0,Active,0,0
1563004,396233,-42,11.0,0.0,Completed,0,0
2034814,239782,-45,24.0,19.0,Active,0,0
1169052,134844,-11,24.0,18.0,Active,0,0
2820714,310419,-8,36.0,13.0,Active,0,0
2428663,191896,-57,9.0,9.0,Active,0,0
1324202,134222,-11,6.0,1.0,Active,0,0
1289648,452276,-71,10.0,4.0,Active,0,0
2768686,119031,-32,10.0,5.0,Active,0,0
1884991,235003,-18,10.0,0.0,Active,809,0
1110942,318515,-43,48.0,44.0,Active,0,0
1311187,410421,-79,10.0,10.0,Active,0,0
